ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
YP_009186840__KT716186	KT716186_Rat bufavirus SY-2015	1763507	Rat bufavirus SY-2015	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KT716186	Protoparvovirus	unclassified Protoparvovirus	KT716186_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	YP_009186840	KT716186	YP_009186840,ALQ10607	YP_009186840__KT716186_Species 8
YP_009315886__KT878837	KT878837_Tetraparvovirus sp.	1908804	Tetraparvovirus sp.	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;unclassified Tetraparvovirus	KT878837	Tetraparvovirus	unclassified Tetraparvovirus	KT878837_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;unclassified Tetraparvovirus	YP_009315886	KT878837	YP_009315886,AOW44155	YP_009315886__KT878837_Species 42
AIY27464__KM402138.1	KM402138.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KM402138.1	Bocaparvovirus	unclassified Bocaparvovirus	KM402138.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AIY27464	KM402138.1	AIY27464,YP_009010976,AGY46255,AHK27109,AHK27016,AHK26971,AHH24686,YP_005086951,AEX30514	AIY27464__KM402138.1_Species 31
AGL09959__KC339251.1	KC339251.1_Bat bocavirus	1329649	Bat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KC339251.1	Bocaparvovirus	unclassified Bocaparvovirus	KC339251.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGL09959	KC339251.1	AGL09959,AIF74218,AGL09960,AIF74219	AGL09959__KC339251.1_Species 34
AIF74210__KJ641666.1	KJ641666.1_Bat parvovirus	1514704	Bat parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KJ641666.1	unclassified Parvovirinae	unclassified Parvovirinae	KJ641666.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AIF74210	KJ641666.1	AIF74210	AIF74210__KJ641666.1_Species 19
AAO88191__AY243005.1	AY243005.1_Non-human primate Adeno-associated virus	226582	Non-human primate Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AY243005.1	Dependoparvovirus	unclassified Dependoparvovirus	AY243005.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AAO88191	AY243005.1	AAO88191	AAO88191__AY243005.1_Species 20
AIY27465__KM402139.1	KM402139.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KM402139.1	Bocaparvovirus	unclassified Bocaparvovirus	KM402139.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AIY27465	KM402139.1	AIY27465,AGS15089,AGS15065,AGS15061,AOZ60498,AOZ60496,ANF16415,YP_009046822,ADI60256,ADI60252,AIH14829,AEI99170,AHK27008,AGS15045,AGS15049	AIY27465__KM402139.1_Species 14
YP_002916059__FJ973561	FJ973561_Human bocavirus 4 NI	1511883	Human bocavirus 4 NI	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	FJ973561	Bocaparvovirus	Primate bocaparvovirus 2	FJ973561_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	YP_002916059	FJ973561	YP_002916059,ACR15779	YP_002916059__FJ973561_Species 16
YP_009315887__KT878837	KT878837_Tetraparvovirus sp.	1908804	Tetraparvovirus sp.	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;unclassified Tetraparvovirus	KT878837	Tetraparvovirus	unclassified Tetraparvovirus	KT878837_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;unclassified Tetraparvovirus	YP_009315887	KT878837	YP_009315887,AOW44156	YP_009315887__KT878837_Species 26
YP_009315908__KT878839	KT878839_Amdoparvovirus sp.	1908805	Amdoparvovirus sp.	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	KT878839	Amdoparvovirus	unclassified Amdoparvovirus	KT878839_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	YP_009315908	KT878839	YP_009315908,AOW44161	YP_009315908__KT878839_Species 7
AQX45761__KX343069.1	KX343069.1_Bat bocavirus	1329649	Bat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KX343069.1	Bocaparvovirus	unclassified Bocaparvovirus	KX343069.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AQX45761	KX343069.1	AQX45761,AIF74225,AIF74215,AIF74212,AQX45762,AIF74226,AIF74216,AIF74213,AIF74233,AIF74232,AIF74231,AIF74230,AIF74229,AIF74228,AIF74227	AQX45761__KX343069.1_Species 34
ACB55315__EU368923.1	EU368923.1_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	EU368923.1	Dependoparvovirus	unclassified Dependoparvovirus	EU368923.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	ACB55315	EU368923.1	ACB55315,YP_077178,AAS99258,AAS99253,AAS99252,AAS99246,AAN03855,AAO88206,AAO88194,ACB55312,AAO88186,AAO88185,AAO88184,ACB55306,ACB55305,AAO88205,AAO88204,AAO88203,AAO88202,AAO88199,AAO88192,AAO89502,AAO89501,AAO89500	ACB55315__EU368923.1_Species 20
YP_009389289__KY640438	KY640438_Dromedary camel bocaparvovirus 2	2014604	Dromedary camel bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640438	Bocaparvovirus	unclassified Bocaparvovirus	KY640438_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009389289	KY640438	YP_009389289,ASC49399,ASC49387,ASC49366	YP_009389289__KY640438_Species 17
AIY27467__KM402139.1	KM402139.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KM402139.1	Bocaparvovirus	unclassified Bocaparvovirus	KM402139.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AIY27467	KM402139.1	AIY27467,ADI60258,AIH14831,AGS15051,AGS15091,AGS15063,AGS15047,AGS15044,YP_009046824,ADI60254,AGS15083,AGS15075,AGS15067,ANF16417,AEI99172,AHK27010,AHK27007,ADI60259,AGS15052,AGS15092,AGS15064,AGS15048,YP_009046825,ADI60255,AGS15084,AGS15076,AGS15068,ANF16418,AEI99173,AHK27035,AHK27033,AHK27029,AHK27024,AHK27020,AHK27018,AHK27034,AHK27023,AHK27026,AHK27030,AHK27025,AHK27032	AIY27467__KM402139.1_Species 34
AFV67812__JX827169.1	JX827169.1_Rat parvovirus NTU1	1248250	Rat parvovirus NTU1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	JX827169.1	Protoparvovirus	unclassified Protoparvovirus	JX827169.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AFV67812	JX827169.1	AFV67812	AFV67812__JX827169.1_Species 19
ACB55316__EU368924.1	EU368924.1_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	EU368924.1	Dependoparvovirus	unclassified Dependoparvovirus	EU368924.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	ACB55316	EU368924.1	ACB55316,ACB55314,ACB55313,ACB55311,AKU89599,AKU89598,AKU89597,YP_077180,AAS99312,AAS99311,AAS99306,AAS99290,AAS99289,AAS99288,AAS99286,AAS99285,AAS99267,AAS99259,AAS99257,AAS99255,AAS99254,AAS99251,AAS99250,AAS99249,AAS99248,AAS99247,AAS99244,AAS99243,AAS99242,AAN03857,AAO88209,AAO88208,AAO88201,AAO88195,AAO88193,AAT46337,AKU89601,AKU89596,AAS99241,4RSOA,ACB55317,AKU89600,AKU89595,AAS99245,AAO88183,AKU89602,AAS99256,AAO88200,AAO88198,AAO88190,AAS99240,AAS99239,AAS99238,AAO88197,AAO88196,3RAAA,3RA9A,3RA8A,3RA4A,3RA2A,2QA0A	ACB55316__EU368924.1_Species 20
ACR15774__FJ973560.1	FJ973560.1_Human bocavirus 2b NI	1511881	Human bocavirus 2b NI	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	FJ973560.1	Bocaparvovirus	Primate bocaparvovirus 2	FJ973560.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	ACR15774	FJ973560.1	ACR15774,ACR15763,ACR15768,ARQ18931,ARQ18926,ASW21300,ASU91617,ARS03591,ARQ18927,ARQ18922,YP_002586773,AJE63441,AJE63437,AJD85769,AJD85761,YP_002916060,ACR15778,ACR15773,ACR15767,ACJ38931,AGI99539,AGC92302,AGC92298,AFW98866,ACP39935,ADB77897,ADB77893,ADD39261,ADD39257,ADD39253,ACR15772,ACS74733,ACR43448,ABW79861,ABW79865,ACJ38939,ACJ38935	ACR15774__FJ973560.1_Species 16
YP_068093__AY349010	AY349010_Snake adeno-associated virus	252602	Snake adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Squamate dependoparvovirus 1	AY349010	Dependoparvovirus	Squamate dependoparvovirus 1	AY349010_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Squamate dependoparvovirus 1	YP_068093	AY349010	YP_068093,AAR07954	YP_068093__AY349010_Species 45
ASC49320__KY640426.1	KY640426.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640426.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640426.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49320	KY640426.1	ASC49320,ASC49321	ASC49320__KY640426.1_Species 30
ACB55318__EU368926.1	EU368926.1_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	EU368926.1	Dependoparvovirus	unclassified Dependoparvovirus	EU368926.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	ACB55318	EU368926.1	ACB55318,4IOVA,AAO88189,AAO88188,AAO88187,AAT46339	ACB55318__EU368926.1_Species 20
AJT39532__KP245945.1	KP245945.1_Porcine parvovirus	10796	Porcine parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1	KP245945.1	Protoparvovirus	Ungulate protoparvovirus 1	KP245945.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1	AJT39532	KP245945.1	AJT39532,ATE46004,YP_009389279,AOZ16745,APR64507,APR64505,AOT82270,YP_009112879,AIZ07780,AKR53679,AJT39534,AJT39533,AJT39531,AJT39530,AJT39529,AJT39528,AJT39527,AHC72379,AHC72378,BAP28821,AGM46816,AGM46815,AGM46814,AGM46813,AGM20663,AGM20602,AGM20601,AGM20600,AGM20599,AGM20598,AGM20597,AGM20596,AGM20595,AGM20594,AGM20593,AGM20592,AGM20591,AGM20590,AGM20589,AGM20588,AGM20587,AGM20586,AGM20585,AGM20584,AGM20583,AGM20580,AGM20579,AFQ55395,AFQ55393,AFO62698,AFO62697,AFO62696,AFO62695,AFO62694,AFO62693,AFO62692,AFO62691,AFO62690,AFO62689,AFO62688,ADF32030,ADF32028,ADF32026,AGM20582,AGM20581,BAB87766	AJT39532__KP245945.1_Species 27
YP_003858571__GU226971	GU226971_Bat adeno-associated virus YNM	727962	Bat adeno-associated virus YNM	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	GU226971	Dependoparvovirus	unclassified Dependoparvovirus	GU226971_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	YP_003858571	GU226971	YP_003858571,ADD17085	YP_003858571__GU226971_Species 46
YP_068094__AY349010	AY349010_Snake adeno-associated virus	252602	Snake adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Squamate dependoparvovirus 1	AY349010	Dependoparvovirus	Squamate dependoparvovirus 1	AY349010_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Squamate dependoparvovirus 1	YP_068094	AY349010	YP_068094,AAR07955	YP_068094__AY349010_Species 20
Q9PZT0__undef	undef_Human parvovirus B19 strain HV	648237	Human parvovirus B19 strain HV	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1;Human parvovirus B19	undef	Erythroparvovirus	Human parvovirus B19	undef_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1;Human parvovirus B19	Q9PZT0	undef	Q9PZT0,P07299,ASU04384,ACJ61238,AKQ44382,ALQ33061,ALF95959,ALF95954,ALF95948,ALF95942,ALF95936,YP_004928146,AIK97781,AIK97776,AIS74864,AIS74859,AIS74854,AIS74849,AIS74844,AIS74839,AIS74834,AII82175,AII82172,AAX83877,AGT28254,AGT28229,AGT28224,AGT28211,AGT28185,AGT28178,AGT28170,AGT28160,AGT28150,AGT28145,AGT28134,AGT28105,AGT28101,AGT28084,AGT28072,AGT28061,AEJ87335,ACI96280,NP_694865,AAT84713,AAT84710,AAT84707,AAB47464,AAB47462,AAB47460,AAB47458,AAB47456,AAB47454,AAB47452,AAB47450,AAB47448,ADQ57309,ADQ57307,AAL91013,ADP37910,AAV35057,AAR97626,AAB47801,AAB47800,AAB47799,AAB47798,AAB47797,AAB47796,AAB47795,AAB47794,AAB47793,AAB47792,AAB47791,AAB47790,AAB47789,AAB47788,AAA83558,BAI82366,ACL36594,AAS83528,AAS83527,AAQ91879,AAD46614,AAC99438,CBI63313,CBI63307,AAL55422,AAL55418,AAT67240,AAA66867,AAK95571,BAA90292,BAA90289,BAA90267,BAD02259,BAD02256,BAD02253,BAD02250,BAD02247,BAD02244,BAD02241,BAD02238,BAD02235,BAD02232,ABD64554,ABD64551,ABD64548,ABD64545,ABD64542,ABC54828,ABC54825,ABC54822,ABN45790,ABB36731,ABB36730,ABB36727,ABB36721,ABB36717,ABC02066,ABC87248,ABC87243,ABB13548,ABB13543,ABB13538,ABB13533,CAA92270,CAG70338,CAG70335,CAG70332,CAG70329,CAG70326,CAG70321,CAG70318,CAG30505,CAC80620,CAA94513,ACA50023,ACA50022,ACA50021,ACA50020,ACA50019,ACA50018,ACA50017,ACA50016,ACA50015,ACA50014,ACA50013,ACA50012,ACA50011,ACA50010,ACA50009,ACA50008,ACA50007,ACA50006,ACA50005,ACA50004,ACA50003,ACA50002,ACA50001,ACA50000,ACA49999,ACA49998,ACA49997,ACA49996,ACA49995,ACA49994,ACA49993,ACA49992,ACA49991,ACA49990,ACA49988,ACA49987,ACA49986,ACA49985,ACA49984,ACA49983,ACA49982,ACA49981,ACA49980,ACA49979,ACA49978,ACA49977,ACA49976,ACA49975,ACA49974,ACA49973,ACA49972,ACA49971,ACA49970,ACA49969,ACA49968,ACA49967,ACA49966,ACA49965,ACA49964,ACA49963,ACA49962,ACA49961,ACA49989,AAK95574,AGT28155,AGT28077,AFM45130,AFM45127,AFM45124,AFM45121,AFM45118,AFM45115,AFM45112,AFM45109,AFM45106,AFM45103,AFM45295,AFM45292,AFM45289,AFM45286,AFM45283,AFM45280,AFM45277,AFM45274,AFM45271,AFM45268,AFM45265,AFM45262,AFM45259,AFM45256,AFM45253,AFM45250,AFM45247,AFM45244,AFM45241,AFM45238,AFM45235,AFM45232,AFM45229,AFM45223,AFM45220,AFM45217,AFM45214,AFM45211,AFM45208,AFM45205,AFM45202,AFM45199,AFM45196,AFM45193,AFM45190,AFM45187,AFM45184,AFM45181,AFM45178,AFM45175,AFM45172,AFM45169,AFM45166,AFM45163,AFM45160,AFM45157,AFM45154,AFM45151,AFM45148,AFM45145,AFM45139,AFM45136,AFM45133,AFM45226,AFM45142,AAD45917,AGT28201,AAD45915,AAD45910,AGT28140,AAD45912,AGT28165,AGT28113,AGT28094,CBJ94529,CBJ94520,CBJ94514,AAT84703,AAT84700,CBJ94517,CBJ94523,CBJ94526,AGT28241,ALQ33081,AGT28089,AGT28129,AGT28216,AGT28190,AAT84697,ASU04386,AAT84698,AKQ44383,ALQ33060,ALF95961,ALF95956,ALF95950,ALF95944,ALF95938,YP_004928148,AIK97783,AIK97778,AIS74865,AIS74860,AIS74855,AIS74850,AIS74845,AIS74840,AIS74835,AII82176,AII82173,AGT28255,AGT28238,AGT28230,AGT28225,AGT28212,AGT28186,AGT28179,AGT28171,AGT28161,AGT28151,AGT28146,AGT28135,AGT28106,AGT28102,AGT28085,AGT28073,AGT28062,ACI96281,1S58A,NP_694867,AAT84714,AAT84711,AAT84708,AAB47465,AAB47463,AAB47461,AAB47459,AAB47457,AAB47455,AAB47453,AAB47451,AAB47449,AAL91014,AAV35058,AAR97627,AAA83559,BAI82368,ACL36596,ABL09116,ABL09111,AAQ91880,AAD46615,AAC99439,ACJ61239,CBI63315,CBI63309,AAT67241,AAK95572,BAA90293,BAA90290,BAA90268,BAD02260,BAD02257,BAD02254,BAD02251,BAD02248,BAD02245,BAD02242,BAD02239,BAD02236,BAD02233,ABD64555,ABD64552,ABD64549,ABD64546,ABD64543,ABC54829,ABC54826,ABC54823,ABL09139,ABL09134,ABL09129,ABL09124,ABL09120,ABL09143,ABC87250,ABC87245,ABB13549,ABB13544,ABB13539,ABB13534,CAG70339,CAG70336,CAG70333,CAG70330,CAG70327,CAG70324,CAG70322,CAG70319,CAG30506,CAC80622,AAK95575,AGT28156,AGT28078,AFM45131,AFM45128,AFM45125,AFM45122,AFM45119,AFM45116,AFM45113,AFM45110,AFM45107,AFM45104,AFM45296,AFM45293,AFM45290,AFM45287,AFM45284,AFM45281,AFM45278,AFM45275,AFM45272,AFM45269,AFM45266,AFM45263,AFM45260,AFM45257,AFM45254,AFM45251,AFM45248,AFM45245,AFM45242,AFM45239,AFM45236,AFM45233,AFM45230,AFM45224,AFM45221,AFM45218,AFM45215,AFM45212,AFM45209,AFM45206,AFM45203,AFM45200,AFM45197,AFM45194,AFM45191,AFM45188,AFM45185,AFM45182,AFM45179,AFM45176,AFM45173,AFM45170,AFM45167,AFM45164,AFM45161,AFM45158,AFM45155,AFM45152,AFM45149,AFM45146,AFM45140,AFM45137,AFM45134,AFM45227,AFM45143,AGT28247,AGT28202,AGT28141,AGT28166,AGT28114,AGT28095,CBJ94530,CBJ94521,CBJ94515,AAT84704,AAT84701,CBJ94518,CBJ94524,CBJ94527,AGT28243,ABM46602,ABM46601,ABM46600,ABM46599,ABM46598,ABM46597,ABM46596,ABM46595,ABM46594,ABM46593,AGT28248	Q9PZT0__undef_Species 22
ACR15791__FJ973563.1	FJ973563.1_Human bocavirus 3	638313	Human bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1	FJ973563.1	Bocaparvovirus	Primate bocaparvovirus 1	FJ973563.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1	ACR15791	FJ973563.1	ACR15791,AJD85767,ADJ37023,YP_002808456,AEK66112,ADD39267,ACR15786,ACR43454,ACH81929,ACR15792,AJD85768,ADJ37024,YP_002808457,AEK66113,ADD39268,ACR15787,ADH44726,ADH44722,ACR43455,ACH81930	ACR15791__FJ973563.1_Species 33
AHK27017__KF025396.1	KF025396.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025396.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025396.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27017	KF025396.1	AHK27017	AHK27017__KF025396.1_Species 31
YP_003858572__GU226971	GU226971_Bat adeno-associated virus YNM	727962	Bat adeno-associated virus YNM	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	GU226971	Dependoparvovirus	unclassified Dependoparvovirus	GU226971_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	YP_003858572	GU226971	YP_003858572,ADD17086	YP_003858572__GU226971_Species 20
ASC49322__KY640427.1	KY640427.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640427.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640427.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49322	KY640427.1	ASC49322,ASC49362,ASC49358,ASC49354,ASC49350,ASC49346,ASC49338,ASC49326,ASC49318,ASC49314,ASC49294,ASC49286,ASC49342,ASC49302	ASC49322__KY640427.1_Species 13
AIF74198__KJ641663.1	KJ641663.1_Bat parvovirus	1514704	Bat parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KJ641663.1	unclassified Parvovirinae	unclassified Parvovirinae	KJ641663.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AIF74198	KJ641663.1	AIF74198	AIF74198__KJ641663.1_Species 5
ADI60246__HM053672.1	HM053672.1_Bocavirus pig/6V/China/2006	795691	Bocavirus pig/6V/China/2006	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	HM053672.1	Bocaparvovirus	unclassified Bocaparvovirus	HM053672.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ADI60246	HM053672.1	ADI60246,YP_005086950,AEX30513,ADI60249,ADI60247,ADI60250,AHK27052	ADI60246__HM053672.1_Species 31
YP_009154712__KP733794	KP733794_Bearded dragon parvovirus	1670662	Bearded dragon parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	KP733794	Dependoparvovirus	unclassified Dependoparvovirus	KP733794_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	YP_009154712	KP733794	YP_009154712,AKM49963	YP_009154712__KP733794_Species 45
ASC49324__KY640427.1	KY640427.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640427.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640427.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49324	KY640427.1	ASC49324,ASC49296,ASC49325,ASC49297	ASC49324__KY640427.1_Species 30
ATX68201__MF362633.1	MF362633.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	MF362633.1	Amdoparvovirus	Carnivore amdoparvovirus 1	MF362633.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ATX68201	MF362633.1	ATX68201	ATX68201__MF362633.1_Species 7
ASM93493__KY214446.1	KY214446.1_Canine minute virus	329639	Canine minute virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 1	KY214446.1	Bocaparvovirus	Carnivore bocaparvovirus 1	KY214446.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 1	ASM93493	KY214446.1	ASM93493,ALR87698,NP_758523,BAJ12131,BAJ12127,BAJ12123,ADA57646,AAM15966,ACL31582,BAD72956,NP_758524,BAJ12132,BAJ12128,ADA57647,AAM15967,ACL31583	ASM93493__KY214446.1_Species 34
YP_009154713__KP733794	KP733794_Bearded dragon parvovirus	1670662	Bearded dragon parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	KP733794	Dependoparvovirus	unclassified Dependoparvovirus	KP733794_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	YP_009154713	KP733794	YP_009154713,AKM49964	YP_009154713__KP733794_Species 20
ASC49340__KY640431.1	KY640431.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640431.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640431.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49340	KY640431.1	ASC49340,ASC49312	ASC49340__KY640431.1_Species 30
